pdf_url,legislation_type,identifier
http://www.legislation.gov.uk/gbla/Geo3/38/55/pdfs/gbla_Geo3380055_en.pdf,gbla,Geo3/38/55
http://www.legislation.gov.uk/gbla/Geo3/38/56/pdfs/gbla_Geo3380056_en.pdf,gbla,Geo3/38/56
http://www.legislation.gov.uk/gbla/Geo3/38/57/data.xml: database disk image is malformed. Response returned without caching.,gbla,Geo3/38
http://www.legislation.gov.uk/gbla/Geo3/38/58/pdfs/gbla_Geo3380058_en.pdf,gbla,Geo3/38/58
http://www.legislation.gov.uk/gbla/Geo3/38/59/pdfs/gbla_Geo3380059_en.pdf,gbla,Geo3/38/59
http://www.legislation.gov.uk/gbla/Geo3/38/6/pdfs/gbla_Geo3380006_en.pdf,gbla,Geo3/38/6
http://www.legislation.gov.uk/gbla/Geo3/38/60/pdfs/gbla_Geo3380060_en.pdf,gbla,Geo3/38/60
http://www.legislation.gov.uk/gbla/Geo3/38/61/pdfs/gbla_Geo3380061_en.pdf,gbla,Geo3/38/61
http://www.legislation.gov.uk/gbla/Geo3/38/62/pdfs/gbla_Geo3380062_en.pdf,gbla,Geo3/38/62
http://www.legislation.gov.uk/gbla/Geo3/38/63/pdfs/gbla_Geo3380063_en.pdf,gbla,Geo3/38/63
http://www.legislation.gov.uk/gbla/Geo3/38/64/pdfs/gbla_Geo3380064_en.pdf,gbla,Geo3/38/64
http://www.legislation.gov.uk/gbla/Geo3/38/65/data.xml: database disk image is malformed. Response returned without caching.,gbla,Geo3/38
http://www.legislation.gov.uk/gbla/Geo3/38/66/data.xml: database disk image is malformed. Response returned without caching.,gbla,Geo3/38
http://www.legislation.gov.uk/gbla/Geo3/38/67/pdfs/gbla_Geo3380067_en.pdf,gbla,Geo3/38/67
http://www.legislation.gov.uk/gbla/Geo3/38/68/pdfs/gbla_Geo3380068_en.pdf,gbla,Geo3/38/68
http://www.legislation.gov.uk/gbla/Geo3/38/69/pdfs/gbla_Geo3380069_en.pdf,gbla,Geo3/38/69
http://www.legislation.gov.uk/gbla/Geo3/38/7/pdfs/gbla_Geo3380007_en.pdf,gbla,Geo3/38/7
http://www.legislation.gov.uk/gbla/Geo3/38/70/pdfs/gbla_Geo3380070_en.pdf,gbla,Geo3/38/70
http://www.legislation.gov.uk/gbla/Geo3/38/71/pdfs/gbla_Geo3380071_en.pdf,gbla,Geo3/38/71
http://www.legislation.gov.uk/gbla/Geo3/38/72/pdfs/gbla_Geo3380072_en.pdf,gbla,Geo3/38/72
http://www.legislation.gov.uk/gbla/Geo3/38/8/pdfs/gbla_Geo3380008_en.pdf,gbla,Geo3/38/8
http://www.legislation.gov.uk/gbla/Geo3/38/9/data.xml: database disk image is malformed. Response returned without caching.,gbla,Geo3/38
http://www.legislation.gov.uk/gbla/Geo3/39-40/1/pdfs/gbla_Geo339-400001_en.pdf,gbla,Geo3/39-40/1
http://www.legislation.gov.uk/gbla/Geo3/39-40/10/pdfs/gbla_Geo339-400010_en.pdf,gbla,Geo3/39-40/10
http://www.legislation.gov.uk/gbla/Geo3/39-40/100/pdfs/gbla_Geo339-400100_en.pdf,gbla,Geo3/39-40/100
http://www.legislation.gov.uk/gbla/Geo3/39-40/102/pdfs/gbla_Geo339-400102_en.pdf,gbla,Geo3/39-40/102
http://www.legislation.gov.uk/gbla/Geo3/39-40/103/pdfs/gbla_Geo339-400103_en.pdf,gbla,Geo3/39-40/103
http://www.legislation.gov.uk/gbla/Geo3/39-40/104/pdfs/gbla_Geo339-400104_en.pdf,gbla,Geo3/39-40/104
http://www.legislation.gov.uk/gbla/Geo3/39-40/105/pdfs/gbla_Geo339-400105_en.pdf,gbla,Geo3/39-40/105
http://www.legislation.gov.uk/gbla/Geo3/39-40/106/pdfs/gbla_Geo339-400106_en.pdf,gbla,Geo3/39-40/106
http://www.legislation.gov.uk/gbla/Geo3/39-40/107/pdfs/gbla_Geo339-400107_en.pdf,gbla,Geo3/39-40/107
http://www.legislation.gov.uk/gbla/Geo3/39-40/108/pdfs/gbla_Geo339-400108_en.pdf,gbla,Geo3/39-40/108
http://www.legislation.gov.uk/gbla/Geo3/39-40/109/pdfs/gbla_Geo339-400109_en.pdf,gbla,Geo3/39-40/109
http://www.legislation.gov.uk/gbla/Geo3/39-40/11/pdfs/gbla_Geo339-400011_en.pdf,gbla,Geo3/39-40/11
http://www.legislation.gov.uk/gbla/Geo3/39-40/110/pdfs/gbla_Geo339-400110_en.pdf,gbla,Geo3/39-40/110
http://www.legislation.gov.uk/gbla/Geo3/39-40/111/pdfs/gbla_Geo339-400111_en.pdf,gbla,Geo3/39-40/111
http://www.legislation.gov.uk/gbla/Geo3/39-40/112/pdfs/gbla_Geo339-400112_en.pdf,gbla,Geo3/39-40/112
http://www.legislation.gov.uk/gbla/Geo3/39-40/113/pdfs/gbla_Geo339-400113_en.pdf,gbla,Geo3/39-40/113
http://www.legislation.gov.uk/gbla/Geo3/39-40/114/pdfs/gbla_Geo339-400114_en.pdf,gbla,Geo3/39-40/114
http://www.legislation.gov.uk/gbla/Geo3/39-40/115/pdfs/gbla_Geo339-400115_en.pdf,gbla,Geo3/39-40/115
http://www.legislation.gov.uk/gbla/Geo3/39-40/116/pdfs/gbla_Geo339-400116_en.pdf,gbla,Geo3/39-40/116
http://www.legislation.gov.uk/gbla/Geo3/39-40/117/pdfs/gbla_Geo339-400117_en.pdf,gbla,Geo3/39-40/117
http://www.legislation.gov.uk/gbla/Geo3/39-40/118/pdfs/gbla_Geo339-400118_en.pdf,gbla,Geo3/39-40/118
http://www.legislation.gov.uk/gbla/Geo3/39-40/119/pdfs/gbla_Geo339-400119_en.pdf,gbla,Geo3/39-40/119
http://www.legislation.gov.uk/gbla/Geo3/39-40/12/pdfs/gbla_Geo339-400012_en.pdf,gbla,Geo3/39-40/12
http://www.legislation.gov.uk/gbla/Geo3/39-40/120/pdfs/gbla_Geo339-400120_en.pdf,gbla,Geo3/39-40/120
http://www.legislation.gov.uk/gbla/Geo3/39-40/14/pdfs/gbla_Geo339-400014_en.pdf,gbla,Geo3/39-40/14
http://www.legislation.gov.uk/gbla/Geo3/39-40/15/pdfs/gbla_Geo339-400015_en.pdf,gbla,Geo3/39-40/15
http://www.legislation.gov.uk/gbla/Geo3/39-40/16/pdfs/gbla_Geo339-400016_en.pdf,gbla,Geo3/39-40/16
http://www.legislation.gov.uk/gbla/Geo3/39-40/17/pdfs/gbla_Geo339-400017_en.pdf,gbla,Geo3/39-40/17
http://www.legislation.gov.uk/gbla/Geo3/39-40/18/pdfs/gbla_Geo339-400018_en.pdf,gbla,Geo3/39-40/18
http://www.legislation.gov.uk/gbla/Geo3/39-40/19/pdfs/gbla_Geo339-400019_en.pdf,gbla,Geo3/39-40/19
http://www.legislation.gov.uk/gbla/Geo3/39-40/2/pdfs/gbla_Geo339-400002_en.pdf,gbla,Geo3/39-40/2
http://www.legislation.gov.uk/gbla/Geo3/39-40/20/pdfs/gbla_Geo339-400020_en.pdf,gbla,Geo3/39-40/20
http://www.legislation.gov.uk/gbla/Geo3/39-40/21/pdfs/gbla_Geo339-400021_en.pdf,gbla,Geo3/39-40/21
http://www.legislation.gov.uk/gbla/Geo3/39-40/22/pdfs/gbla_Geo339-400022_en.pdf,gbla,Geo3/39-40/22
http://www.legislation.gov.uk/gbla/Geo3/39-40/23/pdfs/gbla_Geo339-400023_en.pdf,gbla,Geo3/39-40/23
http://www.legislation.gov.uk/gbla/Geo3/39-40/24/pdfs/gbla_Geo339-400024_en.pdf,gbla,Geo3/39-40/24
http://www.legislation.gov.uk/gbla/Geo3/39-40/25/pdfs/gbla_Geo339-400025_en.pdf,gbla,Geo3/39-40/25
http://www.legislation.gov.uk/gbla/Geo3/39-40/26/pdfs/gbla_Geo339-400026_en.pdf,gbla,Geo3/39-40/26
http://www.legislation.gov.uk/gbla/Geo3/39-40/27/pdfs/gbla_Geo339-400027_en.pdf,gbla,Geo3/39-40/27
http://www.legislation.gov.uk/gbla/Geo3/39-40/29/pdfs/gbla_Geo339-400029_en.pdf,gbla,Geo3/39-40/29
http://www.legislation.gov.uk/gbla/Geo3/39-40/3/pdfs/gbla_Geo339-400003_en.pdf,gbla,Geo3/39-40/3
http://www.legislation.gov.uk/gbla/Geo3/39-40/30/pdfs/gbla_Geo339-400030_en.pdf,gbla,Geo3/39-40/30
http://www.legislation.gov.uk/gbla/Geo3/39-40/31/pdfs/gbla_Geo339-400031_en.pdf,gbla,Geo3/39-40/31
http://www.legislation.gov.uk/gbla/Geo3/39-40/32/pdfs/gbla_Geo339-400032_en.pdf,gbla,Geo3/39-40/32
http://www.legislation.gov.uk/gbla/Geo3/39-40/33/pdfs/gbla_Geo339-400033_en.pdf,gbla,Geo3/39-40/33
http://www.legislation.gov.uk/gbla/Geo3/39-40/34/pdfs/gbla_Geo339-400034_en.pdf,gbla,Geo3/39-40/34
http://www.legislation.gov.uk/gbla/Geo3/39-40/38/pdfs/gbla_Geo339-400038_en.pdf,gbla,Geo3/39-40/38
http://www.legislation.gov.uk/gbla/Geo3/39-40/39/pdfs/gbla_Geo339-400039_en.pdf,gbla,Geo3/39-40/39
http://www.legislation.gov.uk/gbla/Geo3/39-40/40/pdfs/gbla_Geo339-400040_en.pdf,gbla,Geo3/39-40/40
http://www.legislation.gov.uk/gbla/Geo3/39-40/41/pdfs/gbla_Geo339-400041_en.pdf,gbla,Geo3/39-40/41
http://www.legislation.gov.uk/gbla/Geo3/39-40/42/pdfs/gbla_Geo339-400042_en.pdf,gbla,Geo3/39-40/42
http://www.legislation.gov.uk/gbla/Geo3/39-40/43/pdfs/gbla_Geo339-400043_en.pdf,gbla,Geo3/39-40/43
http://www.legislation.gov.uk/gbla/Geo3/39-40/44/pdfs/gbla_Geo339-400044_en.pdf,gbla,Geo3/39-40/44
http://www.legislation.gov.uk/gbla/Geo3/39-40/47/pdfs/gbla_Geo339-400047_en.pdf,gbla,Geo3/39-40/47
http://www.legislation.gov.uk/gbla/Geo3/39-40/48/pdfs/gbla_Geo339-400048_en.pdf,gbla,Geo3/39-40/48
http://www.legislation.gov.uk/gbla/Geo3/39-40/49/pdfs/gbla_Geo339-400049_en.pdf,gbla,Geo3/39-40/49
http://www.legislation.gov.uk/gbla/Geo3/39-40/5/pdfs/gbla_Geo339-400005_en.pdf,gbla,Geo3/39-40/5
http://www.legislation.gov.uk/gbla/Geo3/39-40/50/pdfs/gbla_Geo339-400050_en.pdf,gbla,Geo3/39-40/50
http://www.legislation.gov.uk/gbla/Geo3/39-40/52/pdfs/gbla_Geo339-400052_en.pdf,gbla,Geo3/39-40/52
http://www.legislation.gov.uk/gbla/Geo3/39-40/54/pdfs/gbla_Geo339-400054_en.pdf,gbla,Geo3/39-40/54
http://www.legislation.gov.uk/gbla/Geo3/39-40/55/pdfs/gbla_Geo339-400055_en.pdf,gbla,Geo3/39-40/55
http://www.legislation.gov.uk/gbla/Geo3/39-40/56/pdfs/gbla_Geo339-400056_en.pdf,gbla,Geo3/39-40/56
http://www.legislation.gov.uk/gbla/Geo3/39-40/57/pdfs/gbla_Geo339-400057_en.pdf,gbla,Geo3/39-40/57
http://www.legislation.gov.uk/gbla/Geo3/39-40/58/pdfs/gbla_Geo339-400058_en.pdf,gbla,Geo3/39-40/58
http://www.legislation.gov.uk/gbla/Geo3/39-40/59/pdfs/gbla_Geo339-400059_en.pdf,gbla,Geo3/39-40/59
http://www.legislation.gov.uk/gbla/Geo3/39-40/6/pdfs/gbla_Geo339-400006_en.pdf,gbla,Geo3/39-40/6
http://www.legislation.gov.uk/gbla/Geo3/39-40/60/pdfs/gbla_Geo339-400060_en.pdf,gbla,Geo3/39-40/60
http://www.legislation.gov.uk/gbla/Geo3/39-40/61/pdfs/gbla_Geo339-400061_en.pdf,gbla,Geo3/39-40/61
http://www.legislation.gov.uk/gbla/Geo3/39-40/62/pdfs/gbla_Geo339-400062_en.pdf,gbla,Geo3/39-40/62
http://www.legislation.gov.uk/gbla/Geo3/39-40/63/pdfs/gbla_Geo339-400063_en.pdf,gbla,Geo3/39-40/63
http://www.legislation.gov.uk/gbla/Geo3/39-40/64/pdfs/gbla_Geo339-400064_en.pdf,gbla,Geo3/39-40/64
http://www.legislation.gov.uk/gbla/Geo3/39-40/65/pdfs/gbla_Geo339-400065_en.pdf,gbla,Geo3/39-40/65
http://www.legislation.gov.uk/gbla/Geo3/39-40/66/pdfs/gbla_Geo339-400066_en.pdf,gbla,Geo3/39-40/66
http://www.legislation.gov.uk/gbla/Geo3/39-40/67/pdfs/gbla_Geo339-400067_en.pdf,gbla,Geo3/39-40/67
http://www.legislation.gov.uk/gbla/Geo3/39-40/69/pdfs/gbla_Geo339-400069_en.pdf,gbla,Geo3/39-40/69
http://www.legislation.gov.uk/gbla/Geo3/39-40/70/pdfs/gbla_Geo339-400070_en.pdf,gbla,Geo3/39-40/70
http://www.legislation.gov.uk/gbla/Geo3/39-40/71/pdfs/gbla_Geo339-400071_en.pdf,gbla,Geo3/39-40/71
http://www.legislation.gov.uk/gbla/Geo3/39-40/73/pdfs/gbla_Geo339-400073_en.pdf,gbla,Geo3/39-40/73
http://www.legislation.gov.uk/gbla/Geo3/39-40/74/pdfs/gbla_Geo339-400074_en.pdf,gbla,Geo3/39-40/74
http://www.legislation.gov.uk/gbla/Geo3/39-40/75/pdfs/gbla_Geo339-400075_en.pdf,gbla,Geo3/39-40/75
http://www.legislation.gov.uk/gbla/Geo3/39-40/76/pdfs/gbla_Geo339-400076_en.pdf,gbla,Geo3/39-40/76
http://www.legislation.gov.uk/gbla/Geo3/39-40/77/pdfs/gbla_Geo339-400077_en.pdf,gbla,Geo3/39-40/77
http://www.legislation.gov.uk/gbla/Geo3/39-40/78/pdfs/gbla_Geo339-400078_en.pdf,gbla,Geo3/39-40/78
http://www.legislation.gov.uk/gbla/Geo3/39-40/79/pdfs/gbla_Geo339-400079_en.pdf,gbla,Geo3/39-40/79
http://www.legislation.gov.uk/gbla/Geo3/39-40/8/pdfs/gbla_Geo339-400008_en.pdf,gbla,Geo3/39-40/8
http://www.legislation.gov.uk/gbla/Geo3/39-40/80/pdfs/gbla_Geo339-400080_en.pdf,gbla,Geo3/39-40/80
http://www.legislation.gov.uk/gbla/Geo3/39-40/81/pdfs/gbla_Geo339-400081_en.pdf,gbla,Geo3/39-40/81
http://www.legislation.gov.uk/gbla/Geo3/39-40/83/pdfs/gbla_Geo339-400083_en.pdf,gbla,Geo3/39-40/83
http://www.legislation.gov.uk/gbla/Geo3/39-40/84/pdfs/gbla_Geo339-400084_en.pdf,gbla,Geo3/39-40/84
http://www.legislation.gov.uk/gbla/Geo3/39-40/85/pdfs/gbla_Geo339-400085_en.pdf,gbla,Geo3/39-40/85
http://www.legislation.gov.uk/gbla/Geo3/39-40/86/pdfs/gbla_Geo339-400086_en.pdf,gbla,Geo3/39-40/86
http://www.legislation.gov.uk/gbla/Geo3/39-40/88/pdfs/gbla_Geo339-400088_en.pdf,gbla,Geo3/39-40/88
http://www.legislation.gov.uk/gbla/Geo3/39-40/90/pdfs/gbla_Geo339-400090_en.pdf,gbla,Geo3/39-40/90
http://www.legislation.gov.uk/gbla/Geo3/39-40/91/pdfs/gbla_Geo339-400091_en.pdf,gbla,Geo3/39-40/91
http://www.legislation.gov.uk/gbla/Geo3/39-40/93/pdfs/gbla_Geo339-400093_en.pdf,gbla,Geo3/39-40/93
http://www.legislation.gov.uk/gbla/Geo3/39-40/94/pdfs/gbla_Geo339-400094_en.pdf,gbla,Geo3/39-40/94
http://www.legislation.gov.uk/gbla/Geo3/39-40/95/pdfs/gbla_Geo339-400095_en.pdf,gbla,Geo3/39-40/95
http://www.legislation.gov.uk/gbla/Geo3/39-40/96/pdfs/gbla_Geo339-400096_en.pdf,gbla,Geo3/39-40/96
http://www.legislation.gov.uk/gbla/Geo3/39-40/97/pdfs/gbla_Geo339-400097_en.pdf,gbla,Geo3/39-40/97
http://www.legislation.gov.uk/gbla/Geo3/39-40/98/pdfs/gbla_Geo339-400098_en.pdf,gbla,Geo3/39-40/98
http://www.legislation.gov.uk/gbla/Geo3/39-40/99/pdfs/gbla_Geo339-400099_en.pdf,gbla,Geo3/39-40/99
http://www.legislation.gov.uk/gbla/Geo3/39/1/pdfs/gbla_Geo3390001_en.pdf,gbla,Geo3/39/1
http://www.legislation.gov.uk/gbla/Geo3/39/10/pdfs/gbla_Geo3390010_en.pdf,gbla,Geo3/39/10
http://www.legislation.gov.uk/gbla/Geo3/39/11/data.xml: database disk image is malformed. Response returned without caching.,gbla,Geo3/39
http://www.legislation.gov.uk/gbla/Geo3/39/12/pdfs/gbla_Geo3390012_en.pdf,gbla,Geo3/39/12
http://www.legislation.gov.uk/gbla/Geo3/39/13/pdfs/gbla_Geo3390013_en.pdf,gbla,Geo3/39/13
http://www.legislation.gov.uk/gbla/Geo3/39/14/data.xml: database disk image is malformed. Response returned without caching.,gbla,Geo3/39
http://www.legislation.gov.uk/gbla/Geo3/39/15/pdfs/gbla_Geo3390015_en.pdf,gbla,Geo3/39/15
http://www.legislation.gov.uk/gbla/Geo3/39/16/data.xml: database disk image is malformed. Response returned without caching.,gbla,Geo3/39
http://www.legislation.gov.uk/gbla/Geo3/39/17/pdfs/gbla_Geo3390017_en.pdf,gbla,Geo3/39/17
http://www.legislation.gov.uk/gbla/Geo3/39/18/pdfs/gbla_Geo3390018_en.pdf,gbla,Geo3/39/18
http://www.legislation.gov.uk/gbla/Geo3/39/19/pdfs/gbla_Geo3390019_en.pdf,gbla,Geo3/39/19
http://www.legislation.gov.uk/gbla/Geo3/39/2/pdfs/gbla_Geo3390002_en.pdf,gbla,Geo3/39/2
http://www.legislation.gov.uk/gbla/Geo3/39/20/pdfs/gbla_Geo3390020_en.pdf,gbla,Geo3/39/20
http://www.legislation.gov.uk/gbla/Geo3/39/21/data.xml: database disk image is malformed. Response returned without caching.,gbla,Geo3/39
http://www.legislation.gov.uk/gbla/Geo3/39/22/pdfs/gbla_Geo3390022_en.pdf,gbla,Geo3/39/22
http://www.legislation.gov.uk/gbla/Geo3/39/23/pdfs/gbla_Geo3390023_en.pdf,gbla,Geo3/39/23
http://www.legislation.gov.uk/gbla/Geo3/39/24/data.xml: database disk image is malformed. Response returned without caching.,gbla,Geo3/39
http://www.legislation.gov.uk/gbla/Geo3/39/25/pdfs/gbla_Geo3390025_en.pdf,gbla,Geo3/39/25
http://www.legislation.gov.uk/gbla/Geo3/39/26/data.xml: database disk image is malformed. Response returned without caching.,gbla,Geo3/39
http://www.legislation.gov.uk/gbla/Geo3/39/27/data.xml: database disk image is malformed. Response returned without caching.,gbla,Geo3/39
http://www.legislation.gov.uk/gbla/Geo3/39/28/pdfs/gbla_Geo3390028_en.pdf,gbla,Geo3/39/28
http://www.legislation.gov.uk/gbla/Geo3/39/29/data.xml: database disk image is malformed. Response returned without caching.,gbla,Geo3/39
http://www.legislation.gov.uk/gbla/Geo3/39/3/pdfs/gbla_Geo3390003_en.pdf,gbla,Geo3/39/3
http://www.legislation.gov.uk/gbla/Geo3/39/30/pdfs/gbla_Geo3390030_en.pdf,gbla,Geo3/39/30
http://www.legislation.gov.uk/gbla/Geo3/39/31/pdfs/gbla_Geo3390031_en.pdf,gbla,Geo3/39/31
http://www.legislation.gov.uk/gbla/Geo3/39/32/pdfs/gbla_Geo3390032_en.pdf,gbla,Geo3/39/32
http://www.legislation.gov.uk/gbla/Geo3/39/33/pdfs/gbla_Geo3390033_en.pdf,gbla,Geo3/39/33
http://www.legislation.gov.uk/gbla/Geo3/39/34/pdfs/gbla_Geo3390034_en.pdf,gbla,Geo3/39/34
http://www.legislation.gov.uk/gbla/Geo3/39/35/pdfs/gbla_Geo3390035_en.pdf,gbla,Geo3/39/35
http://www.legislation.gov.uk/gbla/Geo3/39/36/pdfs/gbla_Geo3390036_en.pdf,gbla,Geo3/39/36
http://www.legislation.gov.uk/gbla/Geo3/39/37/pdfs/gbla_Geo3390037_en.pdf,gbla,Geo3/39/37
http://www.legislation.gov.uk/gbla/Geo3/39/38/pdfs/gbla_Geo3390038_en.pdf,gbla,Geo3/39/38
http://www.legislation.gov.uk/gbla/Geo3/39/39/pdfs/gbla_Geo3390039_en.pdf,gbla,Geo3/39/39
http://www.legislation.gov.uk/gbla/Geo3/39/4/pdfs/gbla_Geo3390004_en.pdf,gbla,Geo3/39/4
http://www.legislation.gov.uk/gbla/Geo3/39/40/data.xml: database disk image is malformed. Response returned without caching.,gbla,Geo3/39
http://www.legislation.gov.uk/gbla/Geo3/39/41/pdfs/gbla_Geo3390041_en.pdf,gbla,Geo3/39/41
http://www.legislation.gov.uk/gbla/Geo3/39/42/pdfs/gbla_Geo3390042_en.pdf,gbla,Geo3/39/42
http://www.legislation.gov.uk/gbla/Geo3/39/43/pdfs/gbla_Geo3390043_en.pdf,gbla,Geo3/39/43
http://www.legislation.gov.uk/gbla/Geo3/39/44/pdfs/gbla_Geo3390044_en.pdf,gbla,Geo3/39/44
http://www.legislation.gov.uk/gbla/Geo3/39/45/pdfs/gbla_Geo3390045_en.pdf,gbla,Geo3/39/45
http://www.legislation.gov.uk/gbla/Geo3/39/46/pdfs/gbla_Geo3390046_en.pdf,gbla,Geo3/39/46
http://www.legislation.gov.uk/gbla/Geo3/39/47/pdfs/gbla_Geo3390047_en.pdf,gbla,Geo3/39/47
http://www.legislation.gov.uk/gbla/Geo3/39/48/pdfs/gbla_Geo3390048_en.pdf,gbla,Geo3/39/48
